time,temperature,humidity
2:25:42,23.70,55.20
2:25:42,23.80,55.10
2:25:42,23.70,55.20
2:25:42,23.80,55.10
2:25:42,23.50,55.00
2:25:42,23.50,55.00
2:25:42,23.50,55.00
2:25:42,23.50,55.00
2:25:42,23.50,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
2:25:42,23.51,55.01
07:36:57,28.13,76.63,3310
07:37:09,28.12,76.59,3303
07:46:02,28.22,76.69,3316
07:46:11,28.22,76.74,3310
07:55:27,28.28,76.55,3324
07:55:45,28.31,76.67,3330
08:04:36,28.38,76.45,3310
08:05:19,28.39,76.49,3323
08:05:59,28.39,76.37,3329
08:06:52,28.40,76.33,3321
08:14:22,28.48,77.01,3322
08:21:53,28.61,76.72,3322
08:29:23,28.61,76.84,3329
08:36:54,28.67,76.77,3310
08:44:25,28.73,76.73,3309
08:51:56,28.82,76.99,3283
08:59:26,28.89,77.13,3296
09:06:56,28.99,77.65,3323
09:14:27,29.11,77.26,3289
09:21:58,29.15,76.69,3309
09:29:28,29.24,76.24,3304
09:36:59,29.38,76.50,3315
09:44:30,29.56,76.32,3322
09:52:01,29.69,76.02,3310
09:59:31,29.76,75.35,3291
10:07:01,29.79,74.90,3297
10:14:32,29.81,74.92,3321
10:22:02,29.85,74.53,3303
10:29:33,28.31,68.17,3290
10:37:03,28.19,67.49,3315
10:44:34,28.11,67.48,3316
10:52:04,28.05,67.59,3315
10:59:35,28.07,67.54,3302
11:07:05,28.08,67.22,3295
11:14:36,28.00,67.03,3309
11:22:06,28.25,70.61,3322
11:29:37,28.86,75.06,3302
11:37:08,29.23,76.42,3315
11:44:38,28.77,70.51,3316
11:52:08,27.86,65.89,3323
11:59:38,27.66,64.67,3290
12:07:08,27.51,63.85,3275
12:14:39,27.37,63.65,3283
12:22:09,27.26,63.14,3309
12:29:40,27.26,63.18,3297
12:37:11,27.11,62.82,3289
12:44:41,27.24,63.51,3297
12:52:12,27.15,62.87,3296
12:59:43,27.16,63.42,3301
13:07:14,27.06,63.10,3290
13:14:44,27.02,63.73,3309
13:22:15,27.20,64.38,3284
13:29:45,27.29,64.33,3296
13:37:16,27.58,65.62,3303
13:44:46,27.56,65.19,3303
13:52:17,27.55,64.94,3290
13:59:48,27.61,66.08,3289
14:07:19,27.58,65.41,3302
14:14:49,27.53,65.05,3310
14:22:20,27.58,65.29,3297
14:29:50,27.56,65.95,3309
14:37:21,27.56,65.52,3322
14:44:51,27.72,66.21,3315
14:52:21,27.81,66.29,3302
14:59:51,27.78,66.82,3296
15:07:22,28.32,71.09,3316
15:14:52,28.80,74.77,3310
15:22:22,29.10,76.41,3322
15:29:53,29.34,76.45,3303
15:37:23,29.58,76.11,3297
15:44:54,29.66,75.07,3309
15:52:25,29.85,74.76,3316
15:59:55,29.96,74.58,3303
16:07:26,30.00,74.19,3317
16:14:56,30.09,73.42,3317
16:22:26,30.12,73.25,3310
16:29:57,30.08,73.36,3317
16:37:28,30.27,72.97,3283
16:44:58,29.24,66.38,3290
16:52:29,27.98,61.13,3315
17:00:00,27.96,62.20,3316
17:07:30,28.11,64.17,3297
17:15:00,28.04,64.63,3290
17:22:31,28.01,65.21,3315
17:30:01,27.61,63.21,3297
17:37:31,27.72,63.89,3310
17:45:01,27.72,64.08,3309
17:52:31,27.66,64.03,3309
18:00:02,27.32,61.63,3296
18:07:32,27.26,63.06,3290
18:15:03,27.38,63.10,3276
18:22:33,27.33,63.05,3296
18:30:04,27.25,62.99,3282
18:37:35,27.01,63.01,3296
18:45:05,27.07,63.87,3308
18:52:35,27.05,64.32,3283
19:00:06,27.58,65.71,3276
19:07:37,27.95,66.62,3290
19:15:07,28.15,67.44,3323
19:22:38,28.28,67.88,3290
19:30:08,28.40,68.27,3296
19:37:39,28.49,68.42,3317
19:45:09,28.58,68.69,3284
19:52:40,28.65,68.85,3290
20:00:11,28.71,69.06,3310
20:07:41,28.73,69.16,3316
20:15:12,28.78,69.73,3283
20:22:42,28.82,70.34,3324
20:30:13,28.85,71.25,3303
20:37:43,28.97,72.11,3315
20:45:14,29.09,71.62,3290
20:52:44,29.15,71.85,3316
21:00:14,29.20,72.01,3322
21:07:45,29.21,72.40,3303
21:15:16,29.17,72.61,3322
21:22:46,27.22,62.72,3290
21:30:16,27.13,62.86,3321
21:37:47,27.15,63.45,3289
21:45:17,27.04,63.54,3310
21:52:48,27.05,64.00,3296
22:00:18,26.73,63.46,3310
22:07:49,26.81,63.54,3291
22:15:19,26.77,63.34,3296
22:22:50,26.68,63.35,3284
22:30:20,26.32,61.36,3289
22:37:51,26.42,62.32,3303
22:45:21,26.42,62.63,3277
22:52:52,26.45,62.75,3316
23:00:22,26.40,61.19,3277
